USER_NAME,AGE,HEIGHT,GENDER,SALE_AMOUNT,LAST_PURCHASE_DATE
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
TESTING NAME 1,29,177,M,21312,2020-11-05T13:15:30Z
